Date,Close,Volume,Open,High,Low
2025-02-20,610.38,36554000,611.54,611.684,607.02
2025-02-19,612.93,31011070,610.08,613.23,609.56
2025-02-18,611.49,26749030,610.88,611.49,608.38
2025-02-14,609.7,26910450,609.94,610.99,609.07
2025-02-13,609.73,40921300,604.48,609.94,603.2
2025-02-12,603.36,45076080,599.2,604.55,598.51
2025-02-11,605.31,30056740,602.55,605.86,602.43
2025-02-10,604.85,26048710,604.03,605.4999,602.74
2025-02-07,600.77,50788520,606.89,608.13,600.05
2025-02-06,606.32,35771500,605.99,606.4525,602.63
2025-02-05,604.22,30653150,600.64,604.37,598.58
2025-02-04,601.78,33457820,597.83,602.3,597.28
2025-02-03,597.77,65857250,592.67,600.29,590.49
2025-01-31,601.82,66671470,607.5,609.96,601.05
2025-01-30,605.04,39281260,603.96,606.6,600.715
2025-01-29,601.81,37177430,603.72,604.13,599.22
2025-01-28,604.52,44433320,600.62,605.37,597.25
2025-01-27,599.37,70361130,594.81,599.69,594.64
2025-01-24,607.97,34604690,609.81,610.78,606.8
2025-01-23,609.75,41152100,605.8,609.75,605.52
2025-01-22,606.44,48195970,605.92,607.82,605.36
2025-01-21,603.05,42532850,600.67,603.06,598.67
2025-01-17,597.58,58070630,596.96,599.36,595.61
2025-01-16,591.64,43319660,594.175,594.35,590.93
2025-01-15,592.78,56900160,590.325,593.94,589.195
2025-01-14,582.19,48420580,584.36,585,578.35
2025-01-13,581.39,47910060,575.77,581.75,575.35
2025-01-10,580.49,73105050,585.88,585.95,578.55
2025-01-08,589.49,47304670,588.7,590.5799,585.195
2025-01-07,588.63,60393050,597.42,597.75,586.78
2025-01-06,595.36,47679440,596.27,599.7,593.6
2025-01-03,591.95,37888460,587.53,592.6,586.43
2025-01-02,584.64,50203980,589.39,591.13,580.5
2024-12-31,586.08,57052650,589.905,590.6399,584.42
2024-12-30,588.22,56578760,587.89,591.74,584.41
2024-12-27,595.01,64969310,597.54,597.7761,590.7647
2024-12-26,601.34,41338890,599.5,602.48,598.0825
2024-12-24,601.3,33160100,596.06,601.34,595.47
2024-12-23,594.69,57635830,590.89,595.3,587.661
2024-12-20,591.15,125716700,581.77,595.75,580.91
2024-12-19,586.1,85919450,591.36,593,585.85
2024-12-18,586.28,108248700,603.98,606.405,585.89
2024-12-17,604.29,55773550,604.19,605.17,602.885
2024-12-16,606.79,43695180,606,607.7795,605.21
2024-12-13,604.21,35904730,606.4,607.13,602.81
2024-12-12,604.33,31543810,606.58,607.16,604.33
2024-12-11,607.46,28677720,605.78,608.435,605.5
2024-12-10,602.8,37234520,605.37,605.8,602.13
2024-12-09,604.68,34742740,607.69,607.86,604.08
2024-12-06,607.81,31241550,607.44,609.07,607.02
2024-12-05,606.66,28762180,607.66,608.48,606.305
2024-12-04,607.66,42787560,605.63,607.91,604.95
2024-12-03,603.91,26906630,603.39,604.16,602.341
2024-12-02,603.63,31745990,602.97,604.32,602.47
2024-11-29,602.55,30177350,599.66,603.35,599.3805
2024-11-27,598.83,34000160,600.46,600.85,597.28
2024-11-26,600.65,45621290,598.8,601.33,598.07
2024-11-25,597.53,42441390,599.52,600.86,595.2
2024-11-22,595.51,38226390,593.66,596.15,593.1525
2024-11-21,593.67,46750290,593.4,595.12,587.45
2024-11-20,590.5,50032580,590.38,590.79,584.63
2024-11-19,590.3,49412050,584.71,591.045,584.03
2024-11-18,588.15,37084080,586.22,589.49,585.34
